Platform,Count
Amazon Web Services (AWS),10502
Microsoft Azure,6372
Google Cloud,5424
Cloudflare,4214
Digital Ocean,2902
Vercel,2775
Firebase,2716
Hetzner,1576
Supabase,1368
Netlify,1267
Fly.io,1018
Heroku,1010
VMware,866
"Linode, now Akamai",819
Managed Hosting,709
OVH,630
OpenShift,584
Databricks,545
Oracle Cloud Infrastructure (OCI),540
Render,529
OpenStack,417
Vultr,365
PythonAnywhere,349
IBM Cloud Or Watson,246
Alibaba Cloud,237
Scaleway,195
Colocation,176
